episode,agent_type,belief_evasive,belief_territorial,map_model_id,map_model_name,prior_model_id,prior_model_name,switched,true_end_policy,switch_point,model_correct,episode_reward,log_lik_per_step
0,bayesian,0.569340747969936,0.43065925203006433,0,evasive,0,evasive,0,evasive,32,1,1.0,-1.662855625152588
1,bayesian,1.4716419124993224e-46,1.0,1,territorial,0,evasive,1,territorial,24,1,1.0,-6.453958511352539
2,bayesian,1.0439448190902129e-53,1.0,1,territorial,1,territorial,0,territorial,17,1,0.0,-1.5040520429611206
3,bayesian,1.0,5.387870273884436e-31,0,evasive,1,territorial,1,evasive,33,1,1.0,-6.524866104125977
4,bayesian,2.258271854347188e-49,1.0,1,territorial,0,evasive,1,territorial,22,1,0.0,-5.889194011688232
5,bayesian,8.469803293754877e-22,1.0,1,territorial,1,territorial,0,territorial,24,1,1.0,-1.878856897354126
6,bayesian,3.51262249983739e-30,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-1.8512603044509888
7,bayesian,2.3484043804018422e-09,0.9999999976515959,1,territorial,1,territorial,0,evasive,30,0,1.0,-1.8041915893554688
8,bayesian,5.1228444467156856e-17,1.0,1,territorial,1,territorial,0,evasive,30,0,1.0,-1.721049189567566
9,bayesian,0.9995501263367869,0.0004498736632125403,0,evasive,1,territorial,1,evasive,25,1,1.0,-3.339372396469116
10,bayesian,0.9999980624331227,1.9375668751127597e-06,0,evasive,0,evasive,0,territorial,21,0,1.0,-2.5998854637145996
11,bayesian,0.9999979890041703,2.0109958305063705e-06,0,evasive,0,evasive,0,evasive,19,1,1.0,-2.0825586318969727
12,bayesian,1.3730201169262857e-45,1.0,1,territorial,0,evasive,1,territorial,28,1,0.0,-5.675414085388184
13,bayesian,9.634531174488219e-31,1.0,1,territorial,1,territorial,0,territorial,16,1,0.0,-1.364970326423645
14,bayesian,3.1551968871541156e-24,1.0,1,territorial,1,territorial,0,territorial,30,1,0.0,-2.011744260787964
15,bayesian,3.4513534994433344e-36,1.0,1,territorial,1,territorial,0,territorial,21,1,0.0,-1.413393497467041
16,bayesian,3.0638222436809466e-15,1.0,1,territorial,1,territorial,0,territorial,29,1,1.0,-3.14825701713562
