episode,agent_type,current_model_id,current_model_name,true_end_policy,switch_point,model_correct,him_triggered,log_lik_per_step,episode_reward
0,him_her,0,evasive,territorial,33,0,0,-2.3798201084136963,0.0
1,him_her,0,evasive,territorial,18,0,0,-1.4767893552780151,1.0
2,him_her,0,evasive,territorial,19,0,0,-5.000042915344238,1.0
3,him_her,0,evasive,territorial,31,0,0,-4.150344371795654,0.0
4,him_her,0,evasive,territorial,33,0,0,-3.0133683681488037,0.0
5,him_her,0,evasive,territorial,24,0,0,-7.674245357513428,0.0
6,him_her,0,evasive,territorial,21,0,0,-2.7068705558776855,0.0
7,him_her,0,evasive,territorial,16,0,0,-5.841011047363281,0.0
8,him_her,0,evasive,territorial,28,0,0,-2.758669376373291,0.0
9,him_her,0,evasive,evasive,26,1,0,-17.998098373413086,1.0
10,him_her,0,evasive,territorial,32,0,0,-4.443307399749756,1.0
11,him_her,0,evasive,evasive,24,1,0,-2.121633291244507,1.0
12,him_her,0,evasive,territorial,32,0,0,-2.6888434886932373,1.0
13,him_her,0,evasive,territorial,28,0,0,-5.900116920471191,0.0
14,him_her,0,evasive,territorial,23,0,0,-6.079981327056885,0.0
15,him_her,0,evasive,evasive,29,1,0,-2.181638717651367,1.0
16,him_her,0,evasive,territorial,26,0,0,-6.1054301261901855,0.0
17,him_her,0,evasive,territorial,32,0,0,-3.1670732498168945,1.0
18,him_her,0,evasive,territorial,19,0,0,-2.889918804168701,0.0
19,him_her,0,evasive,territorial,23,0,0,-4.139403343200684,0.0
20,him_her,1,territorial,territorial,22,1,1,-4.910487651824951,0.0
21,him_her,1,territorial,territorial,31,1,1,-2.4843499660491943,1.0
22,him_her,1,territorial,territorial,20,1,0,-1.4153867959976196,0.0
23,him_her,0,evasive,evasive,21,1,1,-4.759491920471191,1.0
24,him_her,1,territorial,evasive,27,0,1,-4.228849411010742,1.0
25,him_her,1,territorial,territorial,32,1,1,-2.1432981491088867,1.0
26,him_her,1,territorial,territorial,17,1,0,-1.4694992303848267,0.0
27,him_her,0,evasive,evasive,22,1,1,-2.9465115070343018,1.0
28,him_her,1,territorial,territorial,33,1,1,-4.6386919021606445,1.0
29,him_her,1,territorial,evasive,31,0,0,-0.6339877247810364,1.0
30,him_her,1,territorial,territorial,19,1,1,-2.0305075645446777,1.0
31,him_her,1,territorial,territorial,31,1,1,-2.0430519580841064,0.0
32,him_her,1,territorial,territorial,22,1,0,-1.522544264793396,0.0
33,him_her,1,territorial,territorial,17,1,0,-1.4958529472351074,0.0
34,him_her,0,evasive,territorial,22,0,1,-5.479002952575684,1.0
35,him_her,1,territorial,territorial,21,1,1,-6.147662162780762,1.0
36,him_her,1,territorial,territorial,24,1,0,-1.3689723014831543,0.0
37,him_her,1,territorial,territorial,26,1,0,-1.4147013425827026,0.0
38,him_her,1,territorial,territorial,20,1,0,-1.500457763671875,0.0
39,him_her,0,evasive,evasive,16,1,1,-2.4523627758026123,1.0
40,him_her,1,territorial,territorial,27,1,1,-4.509923458099365,0.0
41,him_her,1,territorial,territorial,32,1,1,-2.698115587234497,1.0
42,him_her,1,territorial,evasive,32,0,1,-2.4104177951812744,1.0
43,him_her,1,territorial,territorial,31,1,1,-2.214984655380249,0.0
44,him_her,1,territorial,territorial,22,1,0,-1.4556864500045776,0.0
45,him_her,1,territorial,evasive,31,0,1,-2.4678468704223633,1.0
46,him_her,1,territorial,evasive,23,0,1,-2.1880130767822266,1.0
47,him_her,1,territorial,territorial,20,1,0,-1.358096718788147,0.0
48,him_her,1,territorial,territorial,16,1,0,-1.472359299659729,0.0
49,him_her,1,territorial,territorial,26,1,0,-1.2818676233291626,0.0
50,him_her,1,territorial,territorial,20,1,0,-1.4003947973251343,1.0
51,him_her,1,territorial,territorial,25,1,0,-1.912376046180725,1.0
52,him_her,1,territorial,territorial,27,1,0,-1.7749351263046265,0.0
53,him_her,1,territorial,evasive,30,0,0,-0.4143534302711487,1.0
