episode,agent_type,current_model_id,current_model_name,true_end_policy,switch_point,model_correct,him_triggered,log_lik_per_step,episode_reward
0,him_her,0,evasive,territorial,32,0,0,-4.6888933181762695,0.0
1,him_her,0,evasive,territorial,26,0,0,-5.250122547149658,1.0
2,him_her,0,evasive,territorial,30,0,0,-3.1654515266418457,1.0
3,him_her,0,evasive,territorial,21,0,0,-2.181572437286377,1.0
4,him_her,0,evasive,evasive,20,1,0,-3.9869375228881836,1.0
5,him_her,0,evasive,territorial,29,0,0,-5.7513041496276855,1.0
6,him_her,0,evasive,territorial,31,0,0,-2.3437397480010986,0.0
7,him_her,0,evasive,territorial,24,0,0,-2.7690489292144775,1.0
8,him_her,0,evasive,territorial,23,0,0,-4.861928939819336,1.0
9,him_her,0,evasive,evasive,20,1,0,-7.567615032196045,1.0
10,him_her,0,evasive,evasive,23,1,0,-2.3053529262542725,1.0
11,him_her,0,evasive,territorial,31,0,0,-2.407881498336792,1.0
12,him_her,0,evasive,evasive,26,1,0,-2.2974612712860107,1.0
13,him_her,0,evasive,territorial,26,0,0,-1.2278703451156616,1.0
14,him_her,0,evasive,evasive,32,1,0,-9.18559455871582,1.0
15,him_her,0,evasive,territorial,24,0,0,-1.9882689714431763,1.0
16,him_her,0,evasive,territorial,28,0,0,-2.2864012718200684,0.0
17,him_her,0,evasive,territorial,32,0,0,-2.4891536235809326,0.0
18,him_her,0,evasive,evasive,23,1,0,-2.459641218185425,1.0
19,him_her,0,evasive,territorial,17,0,0,-4.862793922424316,0.0
20,him_her,1,territorial,evasive,18,0,1,-5.714942455291748,1.0
21,him_her,1,territorial,territorial,18,1,0,-1.388773798942566,0.0
22,him_her,1,territorial,territorial,26,1,0,-1.549355149269104,0.0
23,him_her,1,territorial,territorial,32,1,1,-2.6836259365081787,0.0
24,him_her,1,territorial,territorial,32,1,1,-2.207303762435913,0.0
25,him_her,1,territorial,evasive,27,0,0,-1.6202586889266968,1.0
26,him_her,1,territorial,territorial,33,1,0,-1.9343181848526,0.0
27,him_her,1,territorial,territorial,20,1,0,-1.6909316778182983,1.0
28,him_her,0,evasive,evasive,18,1,1,-6.684581279754639,1.0
29,him_her,1,territorial,evasive,33,0,1,-10.870087623596191,1.0
30,him_her,0,evasive,evasive,17,1,1,-2.6128950119018555,1.0
31,him_her,1,territorial,territorial,16,1,1,-3.161055088043213,1.0
32,him_her,1,territorial,evasive,29,0,0,-1.9194221496582031,1.0
33,him_her,1,territorial,territorial,26,1,0,-1.4466683864593506,0.0
34,him_her,1,territorial,territorial,24,1,0,-1.419329285621643,0.0
35,him_her,1,territorial,territorial,23,1,1,-3.7855963706970215,1.0
36,him_her,1,territorial,territorial,32,1,1,-2.6171517372131348,0.0
37,him_her,1,territorial,evasive,16,0,0,-0.8467701077461243,1.0
38,him_her,1,territorial,territorial,26,1,0,-1.647726058959961,0.0
39,him_her,0,evasive,evasive,30,1,1,-6.834030628204346,1.0
40,him_her,0,evasive,territorial,27,0,1,-3.0623724460601807,1.0
41,him_her,1,territorial,territorial,18,1,1,-6.037332534790039,0.0
42,him_her,1,territorial,territorial,20,1,0,-1.5739550590515137,0.0
43,him_her,1,territorial,territorial,20,1,0,-1.419318675994873,0.0
44,him_her,1,territorial,territorial,18,1,0,-1.5539824962615967,0.0
45,him_her,1,territorial,territorial,22,1,0,-1.4288262128829956,0.0
46,him_her,1,territorial,territorial,18,1,0,-1.58784818649292,0.0
47,him_her,1,territorial,territorial,16,1,0,-1.4555089473724365,0.0
48,him_her,1,territorial,territorial,21,1,0,-1.3788751363754272,0.0
49,him_her,1,territorial,territorial,25,1,0,-1.365553855895996,0.0
50,him_her,1,territorial,territorial,26,1,0,-1.3843653202056885,0.0
51,him_her,1,territorial,evasive,28,0,0,-0.9771578907966614,1.0
52,him_her,0,evasive,territorial,26,0,1,-3.004997730255127,1.0
53,him_her,1,territorial,territorial,20,1,1,-3.549285888671875,0.0
54,him_her,1,territorial,territorial,19,1,1,-2.2773540019989014,1.0
55,him_her,1,territorial,territorial,29,1,0,-1.8781626224517822,1.0
56,him_her,1,territorial,territorial,33,1,0,-1.8438717126846313,0.0
57,him_her,1,territorial,territorial,26,1,0,-1.2242357730865479,0.0
58,him_her,1,territorial,territorial,27,1,0,-1.473448395729065,0.0
59,him_her,1,territorial,territorial,28,1,1,-2.2627501487731934,1.0
60,him_her,1,territorial,territorial,18,1,0,-1.3647958040237427,0.0
61,him_her,1,territorial,territorial,27,1,0,-1.7666218280792236,0.0
62,him_her,1,territorial,territorial,30,1,0,-1.7794206142425537,0.0
63,him_her,1,territorial,territorial,17,1,0,-1.4656530618667603,0.0
64,him_her,1,territorial,territorial,32,1,1,-2.2095847129821777,0.0
65,him_her,1,territorial,evasive,29,0,1,-2.7131736278533936,1.0
66,him_her,1,territorial,territorial,26,1,0,-1.5176197290420532,0.0
67,him_her,1,territorial,territorial,17,1,0,-1.5637487173080444,0.0
68,him_her,1,territorial,territorial,31,1,0,-1.6405366659164429,0.0
69,him_her,1,territorial,territorial,19,1,0,-1.5408291816711426,0.0
