episode,agent_type,episode_reward,reward_100ep_mean
0,static,0.0,0.0
1,static,0.0,0.0
2,static,0.0,0.0
3,static,0.0,0.0
4,static,0.0,0.0
5,static,1.0,0.16666666666666666
6,static,1.0,0.2857142857142857
7,static,1.0,0.375
8,static,1.0,0.4444444444444444
9,static,0.0,0.4
10,static,1.0,0.45454545454545453
11,static,0.0,0.4166666666666667
12,static,1.0,0.46153846153846156
13,static,0.0,0.42857142857142855
14,static,0.0,0.4
15,static,0.0,0.375
16,static,0.0,0.35294117647058826
17,static,1.0,0.3888888888888889
18,static,1.0,0.42105263157894735
19,static,0.0,0.4
20,static,0.0,0.38095238095238093
21,static,0.0,0.36363636363636365
22,static,0.0,0.34782608695652173
23,static,0.0,0.3333333333333333
24,static,1.0,0.36
25,static,0.0,0.34615384615384615
26,static,1.0,0.37037037037037035
27,static,0.0,0.35714285714285715
28,static,1.0,0.3793103448275862
29,static,1.0,0.4
30,static,1.0,0.41935483870967744
31,static,0.0,0.40625
32,static,1.0,0.42424242424242425
33,static,0.0,0.4117647058823529
34,static,0.0,0.4
35,static,0.0,0.3888888888888889
36,static,0.0,0.3783783783783784
37,static,0.0,0.3684210526315789
38,static,0.0,0.358974358974359
39,static,0.0,0.35
40,static,0.0,0.34146341463414637
41,static,0.0,0.3333333333333333
42,static,0.0,0.32558139534883723
43,static,0.0,0.3181818181818182
44,static,0.0,0.3111111111111111
45,static,0.0,0.30434782608695654
46,static,0.0,0.2978723404255319
47,static,0.0,0.2916666666666667
48,static,0.0,0.2857142857142857
49,static,1.0,0.3
50,static,0.0,0.29411764705882354
51,static,1.0,0.3076923076923077
52,static,0.0,0.3018867924528302
53,static,0.0,0.2962962962962963
54,static,0.0,0.2909090909090909
55,static,0.0,0.2857142857142857
56,static,1.0,0.2982456140350877
57,static,1.0,0.3103448275862069
58,static,1.0,0.3220338983050847
59,static,0.0,0.31666666666666665
60,static,1.0,0.32786885245901637
61,static,0.0,0.3225806451612903
62,static,0.0,0.31746031746031744
63,static,0.0,0.3125
64,static,0.0,0.3076923076923077
65,static,0.0,0.30303030303030304
66,static,0.0,0.29850746268656714
67,static,0.0,0.29411764705882354
68,static,0.0,0.2898550724637681
69,static,0.0,0.2857142857142857
70,static,0.0,0.28169014084507044
71,static,0.0,0.2777777777777778
72,static,0.0,0.273972602739726
73,static,0.0,0.2702702702702703
74,static,0.0,0.26666666666666666
75,static,0.0,0.2631578947368421
76,static,0.0,0.2597402597402597
77,static,0.0,0.2564102564102564
78,static,0.0,0.25316455696202533
79,static,0.0,0.25
80,static,0.0,0.24691358024691357
81,static,0.0,0.24390243902439024
82,static,0.0,0.24096385542168675
83,static,0.0,0.23809523809523808
84,static,0.0,0.23529411764705882
85,static,0.0,0.23255813953488372
86,static,0.0,0.22988505747126436
87,static,0.0,0.22727272727272727
88,static,0.0,0.2247191011235955
89,static,0.0,0.2222222222222222
90,static,0.0,0.21978021978021978
91,static,0.0,0.21739130434782608
92,static,1.0,0.22580645161290322
93,static,0.0,0.22340425531914893
94,static,0.0,0.22105263157894736
95,static,0.0,0.21875
96,static,0.0,0.21649484536082475
97,static,0.0,0.21428571428571427
98,static,0.0,0.21212121212121213
99,static,0.0,0.21
