episode,agent_type,episode_reward,reward_100ep_mean
0,vanilla,1.0,1.0
1,vanilla,1.0,1.0
2,vanilla,1.0,1.0
3,vanilla,0.0,0.75
4,vanilla,0.0,0.6
5,vanilla,0.0,0.5
6,vanilla,1.0,0.5714285714285714
7,vanilla,1.0,0.625
8,vanilla,0.0,0.5555555555555556
9,vanilla,1.0,0.6
10,vanilla,1.0,0.6363636363636364
11,vanilla,1.0,0.6666666666666666
12,vanilla,0.0,0.6153846153846154
13,vanilla,0.0,0.5714285714285714
14,vanilla,0.0,0.5333333333333333
15,vanilla,1.0,0.5625
16,vanilla,0.0,0.5294117647058824
17,vanilla,1.0,0.5555555555555556
18,vanilla,0.0,0.5263157894736842
19,vanilla,0.0,0.5
20,vanilla,0.0,0.47619047619047616
21,vanilla,0.0,0.45454545454545453
22,vanilla,1.0,0.4782608695652174
23,vanilla,1.0,0.5
24,vanilla,1.0,0.52
25,vanilla,1.0,0.5384615384615384
26,vanilla,0.0,0.5185185185185185
27,vanilla,1.0,0.5357142857142857
28,vanilla,1.0,0.5517241379310345
29,vanilla,1.0,0.5666666666666667
30,vanilla,0.0,0.5483870967741935
31,vanilla,0.0,0.53125
32,vanilla,0.0,0.5151515151515151
33,vanilla,1.0,0.5294117647058824
34,vanilla,1.0,0.5428571428571428
35,vanilla,0.0,0.5277777777777778
36,vanilla,0.0,0.5135135135135135
37,vanilla,0.0,0.5
38,vanilla,0.0,0.48717948717948717
39,vanilla,1.0,0.5
40,vanilla,1.0,0.5121951219512195
41,vanilla,1.0,0.5238095238095238
42,vanilla,1.0,0.5348837209302325
43,vanilla,0.0,0.5227272727272727
44,vanilla,0.0,0.5111111111111111
45,vanilla,0.0,0.5
46,vanilla,0.0,0.48936170212765956
47,vanilla,0.0,0.4791666666666667
48,vanilla,1.0,0.4897959183673469
49,vanilla,0.0,0.48
50,vanilla,0.0,0.47058823529411764
51,vanilla,0.0,0.46153846153846156
52,vanilla,1.0,0.4716981132075472
53,vanilla,1.0,0.48148148148148145
54,vanilla,0.0,0.4727272727272727
55,vanilla,0.0,0.4642857142857143
56,vanilla,0.0,0.45614035087719296
57,vanilla,0.0,0.4482758620689655
58,vanilla,0.0,0.4406779661016949
59,vanilla,0.0,0.43333333333333335
60,vanilla,0.0,0.4262295081967213
61,vanilla,0.0,0.41935483870967744
62,vanilla,0.0,0.4126984126984127
63,vanilla,0.0,0.40625
64,vanilla,0.0,0.4
65,vanilla,0.0,0.3939393939393939
66,vanilla,0.0,0.3880597014925373
67,vanilla,0.0,0.38235294117647056
68,vanilla,0.0,0.37681159420289856
69,vanilla,0.0,0.37142857142857144
70,vanilla,0.0,0.36619718309859156
71,vanilla,0.0,0.3611111111111111
72,vanilla,0.0,0.3561643835616438
73,vanilla,0.0,0.35135135135135137
74,vanilla,0.0,0.3466666666666667
75,vanilla,0.0,0.34210526315789475
76,vanilla,0.0,0.33766233766233766
77,vanilla,0.0,0.3333333333333333
78,vanilla,0.0,0.3291139240506329
79,vanilla,1.0,0.3375
80,vanilla,0.0,0.3333333333333333
81,vanilla,0.0,0.32926829268292684
82,vanilla,0.0,0.3253012048192771
